,Titulo,year,certificado,duracion,rating,metascore,director,star1,star2,star3,star4,votos,recaudacion,genero_ok,1,2,3,4,5,6,7,8,9,10,11,12,13
0,The Shawshank Redemption,1994,A,142.0,9.3,80.0,Frank Darabont,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,28341469.0,Drama,The,Shawshank,Redemption,,,,,,,,,,
1,The Godfather,1972,A,175.0,9.2,100.0,Francis Ford Coppola,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,134966411.0,Crime,The,Godfather,,,,,,,,,,,
2,The Dark Knight,2008,UA,152.0,9.0,84.0,Christopher Nolan,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,534858444.0,Action,The,Dark,Knight,,,,,,,,,,
3,The Godfather: Part II,1974,A,202.0,9.0,90.0,Francis Ford Coppola,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,57300000.0,Crime,The,Godfather:,Part,II,,,,,,,,,
4,12 Angry Men,1957,U,96.0,9.0,96.0,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,4360000.0,Crime,12,Angry,Men,,,,,,,,,,
5,The Lord of the Rings: The Return of the King,2003,U,201.0,8.9,94.0,Peter Jackson,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,377845905.0,Action,The,Lord,of,the,Rings:,The,Return,of,the,King,,,
6,Pulp Fiction,1994,A,154.0,8.9,94.0,Quentin Tarantino,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,107928762.0,Crime,Pulp,Fiction,,,,,,,,,,,
7,Schindler's List,1993,A,195.0,8.9,94.0,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,96898818.0,Biography,Schindler's,List,,,,,,,,,,,
8,Inception,2010,UA,148.0,8.8,74.0,Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,292576195.0,Action,Inception,,,,,,,,,,,,
9,Fight Club,1999,A,139.0,8.8,66.0,David Fincher,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,37030102.0,Drama,Fight,Club,,,,,,,,,,,
10,The Lord of the Rings: The Fellowship of the Ring,2001,U,178.0,8.8,92.0,Peter Jackson,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,315544750.0,Action,The,Lord,of,the,Rings:,The,Fellowship,of,the,Ring,,,
11,Forrest Gump,1994,UA,142.0,8.8,82.0,Robert Zemeckis,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,330252182.0,Drama,Forrest,Gump,,,,,,,,,,,
12,"Il buono, il brutto, il cattivo",1966,A,161.0,8.8,90.0,Sergio Leone,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,6100000.0,Western,Il,"buono,",il,"brutto,",il,cattivo,,,,,,,
13,The Lord of the Rings: The Two Towers,2002,UA,179.0,8.7,87.0,Peter Jackson,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,342551365.0,Action,The,Lord,of,the,Rings:,The,Two,Towers,,,,,
14,The Matrix,1999,A,136.0,8.7,73.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,171479930.0,Action,The,Matrix,,,,,,,,,,,
15,Goodfellas,1990,A,146.0,8.7,90.0,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,46836394.0,Biography,Goodfellas,,,,,,,,,,,,
16,Star Wars: Episode V - The Empire Strikes Back,1980,UA,124.0,8.7,82.0,Irvin Kershner,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,290475067.0,Action,Star,Wars:,Episode,V,-,The,Empire,Strikes,Back,,,,
17,One Flew Over the Cuckoo's Nest,1975,A,133.0,8.7,83.0,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,112000000.0,Drama,One,Flew,Over,the,Cuckoo's,Nest,,,,,,,
19,Gisaengchung,2019,A,132.0,8.6,96.0,Bong Joon Ho,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,53367844.0,Comedy,Gisaengchung,,,,,,,,,,,,
21,Interstellar,2014,UA,169.0,8.6,74.0,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,188020017.0,Adventure,Interstellar,,,,,,,,,,,,
22,Cidade de Deus,2002,A,130.0,8.6,79.0,Fernando Meirelles,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,7563397.0,Crime,Cidade,de,Deus,,,,,,,,,,
23,Sen to Chihiro no kamikakushi,2001,U,125.0,8.6,96.0,Hayao Miyazaki,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,10055859.0,Animation,Sen,to,Chihiro,no,kamikakushi,,,,,,,,
24,Saving Private Ryan,1998,R,169.0,8.6,91.0,Steven Spielberg,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,216540909.0,Drama,Saving,Private,Ryan,,,,,,,,,,
25,The Green Mile,1999,A,189.0,8.6,61.0,Frank Darabont,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,136801374.0,Crime,The,Green,Mile,,,,,,,,,,
26,La vita è bella,1997,U,116.0,8.6,59.0,Roberto Benigni,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,57598247.0,Comedy,La,vita,è,bella,,,,,,,,,
